id,name,party,option_meaning,color,position
5462abe8a87408609940ec8d,Miroslava Němcová,ODS,against,blue,90
5462abf5a87408609940efb1,Marek Benda,ODS,against,blue,90
5462abeea87408609940edeb,Martin Novotný,ODS,against,blue,90
5462abdfa87408609940ea35,Pavel Blažek,ODS,against,blue,90
5462abf2a87408609940eee5,Radim Holeček,ODS,against,blue,90
5462abe7a87408609940ec2f,Jana Fischerová,ODS,against,blue,90
5462abe7a87408609940ec31,Simeon Karamazov,ODS,against,blue,90
5462abf6a87408609940efc3,Petr Fiala,ODS,against,blue,90
5462abf5a87408609940ef7f,Ivan Adamec,ODS,for,blue,90
5462abe0a87408609940ea7b,Vladislav Vilímec,ODS,for,blue,90
5462abe5a87408609940ebd7,Zbyněk Stanjura,ODS,for,blue,90
5462abeda87408609940edcf,Jan Zahradník,ODS,for,blue,90
5462abe6a87408609940ebf5,Jan Volný,ANO,for,#123456,0
5462abfba87408609940f0dd,Jaroslav Krákora,ČSSD,for,orange,-30
5462abf5a87408609940efad,Ladislav Velebný,ČSSD,for,orange,-30
