vote_event_id,name,id,description,option_meaning,party
33059,Jan Slezák,3167,pro,for,ČSSD
33059,"Mgr. Petr Štěpánek, CSc.",3346,pro,for,"SZ, KDU-ČSL, STAN"
33059,"JUDr. Ing. Miloslav Ludvík, MBA",3472,pro,for,ČSSD
33059,Mgr. Marta Semelová,3762,chyběl,against,KSČM
33059,Ing. Karel Březina,3967,pro,for,ČSSD
33059,Mgr. Petra Kolínská,3970,pro,for,"SZ, KDU-ČSL, STAN"
33059,Daniel Hodek,4085,pro,for,ČSSD
33059,Petr Šimůnek,4093,zdržel se,against,KSČM
33059,Mgr. Petr Bříza,4306,zdržel se,against,TOP 09
33059,JUDr. Monika Krobová Hášová,4307,pro,for,Nezařazení
33059,Mgr. Albert Kubišta,4308,proti,against,TOP 09
33059,Ing. Pavel Richter,4314,nehlasoval,against,TOP 09
33059,"Doc. MUDr. Bohuslav Svoboda, CSc.",4316,zdržel se,against,ODS
33059,Ing. Eva Vorlíčková,4325,nehlasoval,against,TOP 09
33059,"Doc. Ing. Mgr. Martin Dlouhý, Dr., MSc.",4342,zdržel se,against,TOP 09
33059,Petr Dolínek,4344,pro,for,ČSSD
33059,Ing. Milan Růžička,4345,nehlasoval,against,TOP 09
33059,"RNDr. Tomáš Hudeček, Ph.D.",4347,chyběl,against,TOP 09
33059,Ing. Alexandra Udženija,4350,zdržel se,against,ODS
33059,PhDr. Lukáš Kaucký,4371,pro,for,ČSSD
33059,Mgr. Lukáš Manhart,4373,chyběl,against,TOP 09
33059,Ing. Jiří Nouza,4374,proti,against,TOP 09
33059,Ing. Václav Novotný,4375,proti,against,TOP 09
33059,Ing. Mgr. Irena Ropková,4440,pro,for,ČSSD
33059,JUDr. Ivan Hrůza,4519,zdržel se,against,KSČM
33059,Ing. Ondřej Martan,4522,zdržel se,against,ODS
33059,Bc. Alexander Bellu,4867,zdržel se,against,ODS
33059,Ing. Jarmila Bendová,4869,pro,for,ANO
33059,PhDr. Helena Briardová,4871,zdržel se,against,KSČM
33059,Mgr. Jan Čižinský,4873,pro,for,"SZ, KDU-ČSL, STAN"
33059,Ing. Marek Doležal,4875,proti,against,TOP 09
33059,Mikuláš Ferjenčík,4877,proti,against,Piráti
33059,PharmDr. Petr Fifka,4879,chyběl,against,ODS
33059,Ing. Karel Grabein Procházka,4881,pro,for,ANO
33059,Bc. Libor Hadrava,4883,pro,for,ANO
33059,Ing. Jiří Haramul,4885,pro,for,ANO
33059,Ing. Michal Hašek,4887,pro,for,ANO
33059,Ing. Jiří Hrabák,4889,proti,against,TOP 09
33059,Ing. Vladislava Hujová,4891,proti,against,TOP 09
33059,Filip Humplík,4893,zdržel se,against,ODS
33059,JUDr. Jaroslava Janderová,4895,zdržel se,against,ODS
33059,Tomáš Jílek,4897,proti,against,TOP 09
33059,MgA. Eliška Kaplický Fuchsová,4899,pro,for,ANO
33059,"prof. Ing. Eva Kislingerová, CSc.",4901,pro,for,ANO
33059,Adriana Krnáčová,4903,pro,for,ANO
33059,Ing. Radek Lacko,4905,pro,for,ANO
33059,Ing. Antonín Lébl,4907,pro,for,ANO
33059,Mgr. Bc. Jakub Michálek,4909,proti,against,Piráti
33059,"Mgr. Ondřej Mirovský, M.EM",4911,pro,for,"SZ, KDU-ČSL, STAN"
33059,Ing. Patrik Nacher,4913,pro,for,ANO
33059,Radomír Nepil,4915,pro,for,ANO
33059,Hana Nováková,4917,pro,for,ČSSD
33059,JUDr. Petr Novotný,4919,pro,for,ANO
33059,RNDr. Jana Plamínková,4921,pro,for,"SZ, KDU-ČSL, STAN"
33059,RNDr. Marcela Plesníková,4923,pro,for,ANO
33059,Ing. arch. Martin Polách,4925,pro,for,ANO
33059,Mgr. Petr Prchal,4927,proti,against,TOP 09
33059,Ondřej Profant,4929,proti,against,Piráti
33059,Ing. Miloš Růžička,4931,pro,for,"SZ, KDU-ČSL, STAN"
33059,PhDr. Matěj Stropnický,4933,nehlasoval,against,"SZ, KDU-ČSL, STAN"
33059,Jaroslav Štěpánek,4935,pro,for,ANO
33059,František Švarc,4937,zdržel se,against,ODS
33059,JUDr. Vladislava Veselá,4939,pro,for,ANO
33059,Jan Wolf,4941,pro,for,"SZ, KDU-ČSL, STAN"
33059,Adam Zábranský,4943,proti,against,Piráti
