option_meaning,name,party,description
for,František Adámek,ČSSD,Ano
for,Pavel Antonín,ČSSD,Ano
neutral,Jiří Běhounek,ČSSD,Nepřihlášen/a
for,Marie Benešová,ČSSD,Ano
for,Jan Birke,ČSSD,Ano
against,Vlasta Bohdalová,ČSSD,Zdržel/a se
for,Robin Böhnisch,ČSSD,Ano
neutral,Karel Černý,ČSSD,Omluven
for,Richard Dolejš,ČSSD,Ano
against,Jaroslav Foldyna,ČSSD,Zdržel/a se
neutral,Vlastimil Gabrhel,ČSSD,Omluven
against,Jan Hamáček,ČSSD,Zdržel/a se
against,Pavel Havíř,ČSSD,Zdržel/a se
against,Pavel Holík,ČSSD,Zdržel/a se
for,Stanislav Huml,ČSSD,Ano
for,Milan Chovanec,ČSSD,Ano
for,Jan Chvojka,ČSSD,Ano
for,Igor Jakubčík,ČSSD,Ano
for,Vítězslav Jandák,ČSSD,Ano
for,Zuzana Kailová,ČSSD,Ano
for,Václav Klučka,ČSSD,Ano
for,Petr Kořenek,ČSSD,Ano
for,Jiří Koskuba,ČSSD,Ano
for,Jaroslav Krákora,ČSSD,Ano
for,Jan Mládek,ČSSD,Ano
for,Josef Novotný,ČSSD,Ano
for,Pavlína Nytrová,ČSSD,Ano
for,Jiří Petrů,ČSSD,Ano
for,Lukáš Pleticha,ČSSD,Ano
against,Pavel Ploc,ČSSD,Zdržel/a se
for,Adam Rykala,ČSSD,Ano
for,Antonín Seďa,ČSSD,Ano
for,Roman Sklenák,ČSSD,Ano
for,Bohuslav Sobotka,ČSSD,Ano
for,Miroslava Strnadlová,ČSSD,Ano
for,Štěpán Stupčuk,ČSSD,Ano
for,Zdeněk Syblík,ČSSD,Ano
for,Ladislav Šincl,ČSSD,Ano
for,Jeroným Tejc,ČSSD,Ano
for,Lubomír Toufar,ČSSD,Ano
neutral,Milan Urban,ČSSD,Omluven
for,Dana Váhalová,ČSSD,Ano
for,Roman Váňa,ČSSD,Ano
for,Ladislav Velebný,ČSSD,Ano
for,Václav Votava,ČSSD,Ano
for,Markéta Wernerová,ČSSD,Ano
for,Lubomír Zaorálek,ČSSD,Ano
against,Jaroslav Zavadil,ČSSD,Zdržel/a se
for,Jiří Zemánek,ČSSD,Ano
for,Václav Zemek,ČSSD,Ano
for,Andrej Babiš,ANO,Ano
for,Miloš Babiš,ANO,Ano
neutral,Margita Balaštíková,ANO,Omluven
for,Martina Berdychová,ANO,Ano
for,Stanislav Berkovec,ANO,Ano
for,Richard Brabec,ANO,Ano
for,Milan Brázdil,ANO,Ano
for,Pavel Čihák,ANO,Ano
for,Ivana Dobešová,ANO,Ano
for,Jaroslav Faltýnek,ANO,Ano
neutral,Matěj Fichtner,ANO,Nepřihlášen/a
for,Josef Hájek,ANO,Ano
for,Jiří Holeček,ANO,Ano
for,Bohuslav Chalupa,ANO,Ano
for,Miloslav Janulík,ANO,Ano
for,Jaroslava Jermanová,ANO,Ano
for,David Kasal,ANO,Ano
for,Martin Kolovratník,ANO,Ano
for,Martin Komárek,ANO,Ano
for,Josef Kott,ANO,Ano
for,Roman Kubíček,ANO,Ano
neutral,Jana Lorencová,ANO,Omluven
neutral,Radka Maxová,ANO,Nepřihlášen/a
for,Igor Nykl,ANO,Ano
for,Ladislav Okleštěk,ANO,Ano
for,Jana Pastuchová,ANO,Ano
for,Stanislav Pfléger,ANO,Ano
for,Ivan Pilný,ANO,Ano
for,Pavel Plzák,ANO,Ano
against,Roman Procházka,ANO,Zdržel/a se
for,Karel Rais,ANO,Ano
for,Jan Sedláček,ANO,Ano
for,Martin Sedlář,ANO,Ano
for,Bronislav Schwarz,ANO,Ano
neutral,Zdeněk Soukup,ANO,Omluven
for,Martin Stropnický,ANO,Ano
for,Zuzana Šánová,ANO,Ano
for,Pavel Šrámek,ANO,Ano
neutral,Helena Válková,ANO,Omluven
neutral,Pavel Volčík,ANO,Omluven
for,Jan Volný,ANO,Ano
against,Radek Vondráček,ANO,Zdržel/a se
neutral,Josef Vozdecký,ANO,Omluven
for,Vlastimil Vozka,ANO,Ano
for,Rostislav Vyzula,ANO,Ano
neutral,Kristýna Zelienková,ANO,Omluven
for,Jiří Zlatuška,ANO,Ano
against,Vojtěch Adam,KSČM,Zdržel/a se
against,Hana Aulická Jírovcová,KSČM,Zdržel/a se
against,Zuzka Bebarová Rujbrová,KSČM,Zdržel/a se
against,Jaroslav Borka,KSČM,Zdržel/a se
against,Alexander Černý,KSČM,Zdržel/a se
against,René Číp,KSČM,Zdržel/a se
against,Jiří Dolejš,KSČM,Zdržel/a se
against,Vojtěch Filip,KSČM,Zdržel/a se
against,Miroslav Grebeníček,KSČM,Zdržel/a se
against,Stanislav Grospič,KSČM,Zdržel/a se
against,Milada Halíková,KSČM,Zdržel/a se
against,Gabriela Hubáčková,KSČM,Zdržel/a se
against,Jan Klán,KSČM,Zdržel/a se
against,Vladimír Koníček,KSČM,Zdržel/a se
against,Pavel Kováčik,KSČM,Zdržel/a se
against,Leo Luzar,KSČM,Zdržel/a se
against,Stanislav Mackovík,KSČM,Zdržel/a se
against,Soňa Marková,KSČM,Zdržel/a se
against,Květa Matušovská,KSČM,Zdržel/a se
against,Josef Nekl,KSČM,Zdržel/a se
against,Alena Nohavová,KSČM,Zdržel/a se
against,Zdeněk Ondráček,KSČM,Zdržel/a se
neutral,Miroslav Opálka,KSČM,Omluven
against,Marie Pěnčíková,KSČM,Zdržel/a se
against,Ivo Pojezný,KSČM,Zdržel/a se
against,Marta Semelová,KSČM,Zdržel/a se
against,Václav Snopek,KSČM,Zdržel/a se
against,Josef Šenfeld,KSČM,Zdržel/a se
neutral,Karel Šidlo,KSČM,Omluven
against,Jiří Valenta,KSČM,Zdržel/a se
against,Josef Vondrášek,KSČM,Zdržel/a se
against,Miloslava Vostrá,KSČM,Zdržel/a se
against,Josef Zahradníček,KSČM,Zdržel/a se
against,Markéta Adamová,TOP 09,Zdržel/a se
against,Zdeněk Bezecný,TOP 09,Zdržel/a se
against,Jan Farský,TOP 09,Zdržel/a se
neutral,Petr Gazdík,TOP 09,Omluven
neutral,Leoš Heger,TOP 09,Omluven
against,Václav Horáček,TOP 09,Zdržel/a se
against,Jitka Chalánková,TOP 09,Zdržel/a se
against,Miroslav Kalousek,TOP 09,Zdržel/a se
against,Daniel Korte,TOP 09,Zdržel/a se
neutral,Rom Kostřica,TOP 09,Nepřihlášen/a
neutral,Jiří Koubek,TOP 09,Omluven
against,Věra Kovářová,TOP 09,Zdržel/a se
against,Michal Kučera,TOP 09,Zdržel/a se
against,Helena Langšádlová,TOP 09,Zdržel/a se
against,František Laudát,TOP 09,Zdržel/a se
against,Jaroslav Lobkowicz,TOP 09,Zdržel/a se
against,Nina Nováková,TOP 09,Zdržel/a se
against,Herbert Pavera,TOP 09,Zdržel/a se
against,Gabriela Pecková,TOP 09,Zdržel/a se
against,Martin Plíšek,TOP 09,Zdržel/a se
against,Anna Putnová,TOP 09,Zdržel/a se
against,Karel Schwarzenberg,TOP 09,Zdržel/a se
against,Jiří Skalický,TOP 09,Zdržel/a se
against,Karel Tureček,TOP 09,Zdržel/a se
against,František Vácha,TOP 09,Zdržel/a se
neutral,Marek Ženíšek,TOP 09,Omluven
against,Ivan Adamec,ODS,Zdržel/a se
against,Marek Benda,ODS,Zdržel/a se
against,Petr Bendl,ODS,Zdržel/a se
against,Adolf Beznoska,ODS,Zdržel/a se
against,Pavel Blažek,ODS,Zdržel/a se
neutral,Jana Černochová,ODS,Nepřihlášen/a
against,Petr Fiala,ODS,Zdržel/a se
against,Jana Fischerová,ODS,Zdržel/a se
against,Radim Holeček,ODS,Zdržel/a se
against,Simeon Karamazov,ODS,Zdržel/a se
against,Miroslava Němcová,ODS,Zdržel/a se
against,Martin Novotný,ODS,Zdržel/a se
neutral,Zbyněk Stanjura,ODS,Omluven
against,Bohuslav Svoboda,ODS,Zdržel/a se
against,Vladislav Vilímec,ODS,Zdržel/a se
against,Jan Zahradník,ODS,Zdržel/a se
for,Jan Bartošek,KDU-ČSL,Ano
neutral,Pavel Bělobrádek,KDU-ČSL,Omluven
neutral,Ondřej Benešík,KDU-ČSL,Omluven
against,Ivan Gabal,KDU-ČSL,Zdržel/a se
for,Pavla Golasowská,KDU-ČSL,Ano
for,Daniel Herman,KDU-ČSL,Ano
for,Ludvík Hovorka,KDU-ČSL,Ano
for,Jiří Junek,KDU-ČSL,Ano
for,Marian Jurečka,KDU-ČSL,Ano
for,Vít Kaňkovský,KDU-ČSL,Ano
neutral,Jaroslav Klaška,KDU-ČSL,Omluven
against,Petr Kudela,KDU-ČSL,Zdržel/a se
for,Jiří Mihola,KDU-ČSL,Ano
for,Josef Uhlík,KDU-ČSL,Ano
against,Petr Adam,Úsvit,Zdržel/a se
against,Augustin Karel Andrle Sylor,Úsvit,Zdržel/a se
against,Marek Černoch,Úsvit,Zdržel/a se
against,Radim Fiala,Úsvit,Zdržel/a se
against,Karel Fiedler,Úsvit,Zdržel/a se
against,Olga Havlová,Úsvit,Zdržel/a se
against,Jana Hnyková,Úsvit,Zdržel/a se
against,Jaroslav Holík,Úsvit,Zdržel/a se
neutral,David Kádner,Úsvit,Omluven
against,Martin Lank,Úsvit,Zdržel/a se
against,Tomio Okamura,Úsvit,Zdržel/a se
against,Karel Pražák,Úsvit,Zdržel/a se
against,Milan Šarapatka,Úsvit,Zdržel/a se
against,Jiří Štětina,Úsvit,Zdržel/a se
